carat,table,x,y,z,cut_Ideal,cut_Premium,color_E,color_I,clarity_SI2,clarity_VVS1,price
0.23,55.0,3.95,3.98,2.43,True,False,True,False,True,False,326.0
0.21,57.0,3.89,3.84,2.31,False,True,True,False,False,False,326.0
0.23,65.0,4.05,4.07,2.31,False,False,True,False,False,False,327.0
0.29,58.0,4.2,5.71,2.63,False,True,False,True,False,False,334.0
0.31,58.0,4.34,4.35,2.75,False,False,False,False,True,False,335.0
0.24,57.0,3.94,3.96,2.48,False,False,False,False,False,False,336.0
0.24,57.0,3.95,3.98,2.47,False,False,False,True,False,True,336.0
0.26,55.0,4.07,4.11,2.53,False,False,False,False,False,False,337.0
0.22,61.0,3.87,3.78,2.49,False,False,True,False,False,False,337.0
0.23,61.0,4.0,4.05,2.39,False,False,False,False,False,False,338.0
0.3,55.0,4.25,4.28,2.73,False,False,False,False,False,False,339.0
0.23,56.0,3.93,3.9,2.46,True,False,False,False,False,False,340.0
0.22,61.0,3.88,3.84,2.33,False,True,False,False,False,False,342.0
0.31,54.0,4.35,4.37,2.71,True,False,False,False,True,False,344.0
0.2,62.0,3.79,3.75,2.27,False,True,True,False,True,False,345.0
0.32,58.0,4.38,4.42,2.68,False,True,True,False,False,False,345.0
0.3,54.0,4.31,4.34,2.68,True,False,False,True,True,False,348.0
0.3,54.0,4.23,4.29,2.7,False,False,False,False,False,False,351.0
0.3,56.0,4.23,4.26,2.71,False,False,False,False,False,False,351.0
0.3,59.0,4.21,4.27,2.66,False,False,False,False,False,False,351.0
0.7,56.0,4.26,4.3,2.71,False,False,False,True,True,False,351.0
0.23,55.0,3.85,3.92,2.48,False,False,True,False,False,False,352.0
0.23,57.0,3.94,3.96,2.41,False,False,False,False,False,False,353.0
0.31,62.0,4.39,4.43,2.62,False,False,False,False,False,False,353.0
0.31,62.0,4.44,4.47,2.59,False,False,False,False,False,False,353.0
0.23,58.0,3.97,4.01,2.41,False,False,False,False,False,False,354.0
0.24,57.0,3.97,3.94,2.47,False,True,False,True,False,False,355.0
0.3,57.0,4.28,4.3,3.53,False,False,False,False,False,False,357.0
0.23,61.0,3.96,3.97,2.4,False,False,False,False,False,False,357.0
0.23,57.0,5.7,3.99,2.42,False,False,False,False,False,False,357.0
0.23,57.0,4.0,4.03,2.41,False,False,False,False,False,False,402.0
0.23,57.0,4.04,4.06,2.42,False,False,False,False,False,False,402.0
0.23,59.0,3.97,4.01,2.42,False,False,True,False,False,False,402.0
